date,prior_close,pred_high,pred_low,actual_high,actual_low,actual_close,h_err_pct,l_err_pct,direction_pred,dir_correct,regime,vix,cov68h,cov68l,cov90h,cov90l,condor,net_pnl_dollars,short_call,short_put,long_call,long_put,conf_68_high_lo,conf_68_high_hi,conf_68_low_lo,conf_68_low_hi,conf_90_high_lo,conf_90_high_hi,conf_90_low_lo,conf_90_low_hi
2026-01-02,6845.5,6891.92,6778.56,6894.87,6824.31,6858.47,0.0431,0.6683,BULLISH,True,GREEN,14.95,True,False,True,True,WIN,733.62,6919.46,6741.34,6929.46,6731.34,6864.39,6919.46,6741.34,6815.79,6835.23,6948.61,6698.92,6858.21
2026-01-05,6858.47,6904.98,6791.41,6920.38,6891.56,6902.05,0.2246,1.4603,BULLISH,True,GREEN,14.51,True,False,True,False,WIN,712.27,6932.57,6754.11,6942.57,6744.11,6877.39,6932.57,6754.11,6828.7,6848.18,6961.78,6711.61,6871.2
2026-01-06,6902.05,6948.85,6834.56,6948.69,6904.02,6944.82,0.0024,1.0064,BULLISH,True,GREEN,14.9,True,False,True,True,WIN,737.4,6976.62,6795.32,6986.62,6785.32,6921.09,6976.62,6795.32,6873.8,6891.69,7006.01,6754.26,6914.86
2026-01-07,6944.82,6991.91,6876.91,6965.69,6919.19,6920.93,0.3776,0.6088,BULLISH,False,GREEN,14.75,True,False,True,True,WIN,734.34,7019.85,6837.43,7029.85,6827.43,6963.98,7019.85,6837.43,6916.4,6934.4,7049.43,6796.11,6957.71
2026-01-08,6920.93,6967.86,6853.26,6931.28,6899.33,6921.46,0.5286,0.6657,BULLISH,True,GREEN,15.38,False,False,True,True,WIN,764.64,6995.7,6813.91,7005.7,6803.91,6940.02,6995.7,6813.91,6892.6,6910.55,7025.18,6772.73,6933.78
2026-01-09,6921.46,6968.4,6853.78,6978.36,6917.64,6966.28,0.144,0.9226,BULLISH,True,GREEN,15.45,True,False,True,True,WIN,768.36,6996.24,6814.43,7006.24,6804.43,6940.56,6996.24,6814.43,6893.13,6911.08,7025.72,6773.25,6934.31
2026-01-12,6966.28,7013.52,6898.16,6986.33,6934.07,6977.27,0.3903,0.5154,BULLISH,True,GREEN,14.49,True,True,True,True,WIN,723.05,7041.54,6858.56,7051.54,6848.56,6985.5,7041.54,6858.56,6937.77,6955.83,7071.21,6817.11,6979.21
2026-01-13,6977.27,7024.58,6909.05,6985.83,6938.77,6963.74,0.5554,0.426,BULLISH,False,GREEN,15.12,False,True,True,True,WIN,757.48,7052.65,6871.84,7062.65,6861.84,6996.52,7052.65,6871.84,6946.25,6966.8,7082.37,6834.97,6983.12
2026-01-14,6963.74,7010.96,6895.65,6941.3,6885.74,6926.6,1.0004,0.1423,BULLISH,False,GREEN,15.98,False,True,False,True,WIN,801.2,7038.87,6859.5,7048.87,6849.5,6983.06,7038.87,6859.5,6931.79,6953.29,7068.63,6821.72,6969.58
2026-01-15,6926.6,6973.57,6858.87,6979.34,6937.93,6944.47,0.0833,1.1414,BULLISH,True,YELLOW,16.75,True,False,True,False,WIN,837.03,7001.43,6821.94,7011.43,6811.94,6945.71,7001.43,6821.94,6895.8,6913.67,7033.47,6785.33,6932.41
